Cell_id,species,paper,Age,stage
D10A1S7,human,Xiang,D10,early post
D10A1S9,human,Xiang,D10,early post
D10A2B1,human,Xiang,D10,early post
D10A2B2,human,Xiang,D10,early post
D10A2B3,human,Xiang,D10,early post
D10A2B4,human,Xiang,D10,early post
D10A2B6,human,Xiang,D10,early post
D10A2S1,human,Xiang,D10,early post
D10A2S17,human,Xiang,D10,early post
D10A2S2,human,Xiang,D10,early post
D10A2S21,human,Xiang,D10,early post
D10A2S24,human,Xiang,D10,early post
D10A2S3,human,Xiang,D10,early post
D10A2S32,human,Xiang,D10,early post
D10A3B17,human,Xiang,D10,early post
D10A3B2,human,Xiang,D10,early post
D10A3B3,human,Xiang,D10,early post
D10A3B4,human,Xiang,D10,early post
D10A3B5,human,Xiang,D10,early post
D10A3B6,human,Xiang,D10,early post
D10A3B7,human,Xiang,D10,early post
D10A3B8,human,Xiang,D10,early post
D10A3B9,human,Xiang,D10,early post
D10A3S1,human,Xiang,D10,early post
D10A3S10,human,Xiang,D10,early post
D10A3S18,human,Xiang,D10,early post
D10A3S2,human,Xiang,D10,early post
D10A3S35,human,Xiang,D10,early post
D10A3S7,human,Xiang,D10,early post
D10A3S9,human,Xiang,D10,early post
D10A4B3,human,Xiang,D10,early post
D10A4B7,human,Xiang,D10,early post
D10A4B8,human,Xiang,D10,early post
D10A4S11,human,Xiang,D10,early post
D10A4S14,human,Xiang,D10,early post
D10A4S16,human,Xiang,D10,early post
D10A4S4,human,Xiang,D10,early post
D10A4S7,human,Xiang,D10,early post
D10A4S8,human,Xiang,D10,early post
D10A4S9,human,Xiang,D10,early post
D10A5B1,human,Xiang,D10,early post
D10A5B3,human,Xiang,D10,early post
D10A5B8,human,Xiang,D10,early post
D10A5S12,human,Xiang,D10,early post
D10A5S16,human,Xiang,D10,early post
D10A5S3,human,Xiang,D10,early post
D10A6S1,human,Xiang,D10,early post
D10A6S10,human,Xiang,D10,early post
D10A6S14,human,Xiang,D10,early post
D10A6S4,human,Xiang,D10,early post
D10A6S5,human,Xiang,D10,early post
D10A6S7,human,Xiang,D10,early post
D10A6S8,human,Xiang,D10,early post
D12_1B3,human,Xiang,D12,late post
D12_1B4,human,Xiang,D12,late post
D12_2B2,human,Xiang,D12,late post
D12_2B9,human,Xiang,D12,late post
D12_2S1,human,Xiang,D12,late post
D12A3B1,human,Xiang,D12,late post
D12A3B10,human,Xiang,D12,late post
D12A3B11,human,Xiang,D12,late post
D12A3B12,human,Xiang,D12,late post
D12A3B13,human,Xiang,D12,late post
D12A3B14,human,Xiang,D12,late post
D12A3B15,human,Xiang,D12,late post
D12A3B16,human,Xiang,D12,late post
D12A3B2,human,Xiang,D12,late post
D12A3B3,human,Xiang,D12,late post
D12A3B4,human,Xiang,D12,late post
D12A3B5,human,Xiang,D12,late post
D12A3B6,human,Xiang,D12,late post
D12A3B7,human,Xiang,D12,late post
D12A3B8,human,Xiang,D12,late post
D12A3B9,human,Xiang,D12,late post
D12A3S1,human,Xiang,D12,late post
D12A3S10,human,Xiang,D12,late post
D12A3S11,human,Xiang,D12,late post
D12A3S12,human,Xiang,D12,late post
D12A3S13,human,Xiang,D12,late post
D12A3S14,human,Xiang,D12,late post
D12A3S15,human,Xiang,D12,late post
D12A3S16,human,Xiang,D12,late post
D12A3S17,human,Xiang,D12,late post
D12A3S18,human,Xiang,D12,late post
D12A3S19,human,Xiang,D12,late post
D12A3S2,human,Xiang,D12,late post
D12A3S20,human,Xiang,D12,late post
D12A3S21,human,Xiang,D12,late post
D12A3S22,human,Xiang,D12,late post
D12A3S23,human,Xiang,D12,late post
D12A3S24,human,Xiang,D12,late post
D12A3S25,human,Xiang,D12,late post
D12A3S26,human,Xiang,D12,late post
D12A3S27,human,Xiang,D12,late post
D12A3S28,human,Xiang,D12,late post
D12A3S29,human,Xiang,D12,late post
D12A3S3,human,Xiang,D12,late post
D12A3S30,human,Xiang,D12,late post
D12A3S31,human,Xiang,D12,late post
D12A3S32,human,Xiang,D12,late post
D12A3S4,human,Xiang,D12,late post
D12A3S5,human,Xiang,D12,late post
D12A3S6,human,Xiang,D12,late post
D12A3S7,human,Xiang,D12,late post
D12A3S8,human,Xiang,D12,late post
D12A3S9,human,Xiang,D12,late post
D12A4B15,human,Xiang,D12,late post
D12A4B16,human,Xiang,D12,late post
D12A4B5,human,Xiang,D12,late post
D12A4B8,human,Xiang,D12,late post
D12A4B9,human,Xiang,D12,late post
D12A4S12,human,Xiang,D12,late post
D12A4S16,human,Xiang,D12,late post
D12A4S17,human,Xiang,D12,late post
D12A4S2,human,Xiang,D12,late post
D12A4S21,human,Xiang,D12,late post
D12A4S22,human,Xiang,D12,late post
D12A4S26,human,Xiang,D12,late post
D12A4S27,human,Xiang,D12,late post
D12A4S29,human,Xiang,D12,late post
D12A4S30,human,Xiang,D12,late post
D12A4S7,human,Xiang,D12,late post
D12A4S9,human,Xiang,D12,late post
D12A5B11,human,Xiang,D12,late post
D12A5B15,human,Xiang,D12,late post
D12A5B5,human,Xiang,D12,late post
D12A5B6,human,Xiang,D12,late post
D12A5B9,human,Xiang,D12,late post
D12A5S1,human,Xiang,D12,late post
D12A5S13,human,Xiang,D12,late post
D12A5S16,human,Xiang,D12,late post
D12A5S17,human,Xiang,D12,late post
D12A5S18,human,Xiang,D12,late post
D12A5S19,human,Xiang,D12,late post
D12A5S20,human,Xiang,D12,late post
D12A5S24,human,Xiang,D12,late post
D12A5S25,human,Xiang,D12,late post
D12A5S30,human,Xiang,D12,late post
D12A5S4,human,Xiang,D12,late post
D12A5S5,human,Xiang,D12,late post
D12A5S6,human,Xiang,D12,late post
D14_1B1,human,Xiang,D14,late post
D14_1B2,human,Xiang,D14,late post
D14_1B5,human,Xiang,D14,late post
D14_1S10,human,Xiang,D14,late post
D14_1S2,human,Xiang,D14,late post
D14A1B1,human,Xiang,D14,late post
D14A1B10,human,Xiang,D14,late post
D14A1B11,human,Xiang,D14,late post
D14A1B12,human,Xiang,D14,late post
D14A1B13,human,Xiang,D14,late post
D14A1B14,human,Xiang,D14,late post
D14A1B15,human,Xiang,D14,late post
D14A1B16,human,Xiang,D14,late post
D14A1B17,human,Xiang,D14,late post
D14A1B18,human,Xiang,D14,late post
D14A1B19,human,Xiang,D14,late post
D14A1B2,human,Xiang,D14,late post
D14A1B20,human,Xiang,D14,late post
D14A1B21,human,Xiang,D14,late post
D14A1B22,human,Xiang,D14,late post
D14A1B23,human,Xiang,D14,late post
D14A1B24,human,Xiang,D14,late post
D14A1B25,human,Xiang,D14,late post
D14A1B26,human,Xiang,D14,late post
D14A1B27,human,Xiang,D14,late post
D14A1B28,human,Xiang,D14,late post
D14A1B3,human,Xiang,D14,late post
D14A1B4,human,Xiang,D14,late post
D14A1B5,human,Xiang,D14,late post
D14A1B6,human,Xiang,D14,late post
D14A1B7,human,Xiang,D14,late post
D14A1B8,human,Xiang,D14,late post
D14A1B9,human,Xiang,D14,late post
D14A1S1,human,Xiang,D14,late post
D14A1S10,human,Xiang,D14,late post
D14A1S11,human,Xiang,D14,late post
D14A1S12,human,Xiang,D14,late post
